GivenName,LastName,Position,TigerPlayBegin1,TigerPlayStop1,TigerPlayBegin2,TigerPlayStop2,TigerPlayBegin3,BirthDate,BirthPlace,DeathDate,DeathPlace,URL,Image,Caption,Source,Column 17
"Dale ""Moose""",Alexander, IF,1929-01-01T00:00:00Z,1932-01-01T00:00:00Z,,,,1903-04-26T00:00:00Z,"Greenville, Tennessee",1979-03-02T00:00:00Z,"Greenville, Tennessee",http://en.wikipedia.org/wiki/Dale_Alexander,http://upload.wikimedia.org/wikipedia/commons/f/f6/DaleAlexanderGoudeycard.jpg,"Dale Alexander, 1933",Goudey Gum Company,
Doyle,Alexander, P,1987-01-01T00:00:00Z,1989-01-01T00:00:00Z,,,,1950-09-04T00:00:00Z,"Cordova, Alabama",,,http://en.wikipedia.org/wiki/Doyle_Alexander,,,,
Andy,Allanson, C,1991-01-01T00:00:00Z,,,,,1961-12-22T00:00:00Z,"Richmond, Virginia",,,http://en.wikipedia.org/wiki/Andy_Allanson,,,,
Dusty,Allen, IF,2000-01-01T00:00:00Z,,,,,1972-08-09T00:00:00Z,"Oklahoma City, Oklahoma",,,http://en.wikipedia.org/wiki/Dusty_Allen,,,,
Rod,Allen, DH,1984-01-01T00:00:00Z,,,,,1959-10-05T00:00:00Z,"Los Angeles, California",,,http://en.wikipedia.org/wiki/Rod_Allen,,,,
Ernie,Alten, P,1920-01-01T00:00:00Z,,,,,1894-12-01T00:00:00Z,"Avon, Ohio",1981-09-09T00:00:00Z,"Napa, California",http://en.wikipedia.org/wiki/Ernie_Alten,,,,
George,Alusik, OF,1958-01-01T00:00:00Z,1962-01-01T00:00:00Z,,,,1935-02-11T00:00:00Z,"Ashley, Pennsylvania",,,http://en.wikipedia.org/wiki/George_Alusik,,,,
Luis,Alvarado Martínez, IF,1977-01-01T00:00:00Z,,,,,1949-01-15T00:00:00Z,"Lajas, Puerto Rico",2001-03-20T00:00:00Z,"Lajas, Puerto Rico",http://en.wikipedia.org/wiki/Luis_Alvarado,,,,
Gabe,Alvarez, IF,1998-01-01T00:00:00Z,2000-01-01T00:00:00Z,,,,1974-03-06T00:00:00Z,"Navojoa, Sonora, Mexico",,,http://en.wikipedia.org/wiki/Gabe_Alvarez,,,,
José,Álvarez, P,2013-01-01T00:00:00Z,2013-01-01T00:00:00Z,,,,1989-05-06T00:00:00Z,"Barcelona, Anzoátegui, Venezuela",,,"http://en.wikipedia.org/wiki/Jos%C3%A9_%C3%81lvarez_(baseball,_born_1989)",,,,
Ossie,Álvarez, IF,1959-01-01T00:00:00Z,,,,,1933-10-19T00:00:00Z,"Matanzas, Cuba",2008-03-08T00:00:00Z,"Guadalajara, Mexico",http://en.wikipedia.org/wiki/Ossie_%C3%81lvarez,,,,
Sandy,Amorós Isasi, OF,1960-01-01T00:00:00Z,,,,,1930-01-30T00:00:00Z,"Havana, Cuba",1992-06-27T00:00:00Z,"Miami, Florida",http://en.wikipedia.org/wiki/Sandy_Amor%C3%B3s,http://upload.wikimedia.org/wikipedia/commons/c/ca/Sandy_Amor%C3%B3s_1954.png,"Sandy Amorós, 1954","Baseball Digest, back cover, October 1954 issue",
Bob,Anderson, P,1963-01-01T00:00:00Z,,,,,1935-09-25T00:00:00Z,"East Chicago, Indiana",,,http://en.wikipedia.org/wiki/Bob_Anderson_(baseball),,,,
Josh,Anderson, OF,2009-01-01T00:00:00Z,,,,,1982-08-10T00:00:00Z,"Somerset, Kentucky",,,http://en.wikipedia.org/wiki/Josh_Anderson_(baseball),http://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Josh_Anderson_2009.jpg/420px-Josh_Anderson_2009.jpg,"Josh Anderson, 2009",Kevin Ward,
Matt,Anderson, P,1998-01-01T00:00:00Z,2003-01-01T00:00:00Z,,,,1976-08-17T00:00:00Z,"Louisville, Kentucky",,,http://en.wikipedia.org/wiki/Matt_Anderson,,,,
Jimmy,Archer, C,1907-01-01T00:00:00Z,,,,,1883-05-13T00:00:00Z,"Dublin, Ireland",1958-03-29T00:00:00Z,"Milwaukee, Wisconsin",http://en.wikipedia.org/wiki/Jimmy_Archer,http://upload.wikimedia.org/wikipedia/en/a/a3/Jimmy_Archer_Baseball_Card.jpg,"Jimmy Archer, 1909",American Tobacco Company,
George,Archie, IF,1938-01-01T00:00:00Z,,,,,1914-04-27T00:00:00Z,"Nashville, Tennessee",2001-09-20T00:00:00Z,"Nashville, Tennessee",http://en.wikipedia.org/wiki/George_Archie,,,,
Harry,Arndt, IF,1902-01-01T00:00:00Z,,,,,1879-02-12T00:00:00Z,"South Bend, Indiana",1921-03-25T00:00:00Z,"South Bend, Indiana",http://en.wikipedia.org/wiki/Harry_Arndt,http://upload.wikimedia.org/wikipedia/commons/1/12/Harry_Arndt.jpg,"Harry Arndt, 1910",American Tobacco Company via Library of Congress,
Fernando,Arroyo, P,1975-01-01T00:00:00Z,1979-01-01T00:00:00Z,,,,1952-03-21T00:00:00Z,"Sacramento, California",,,http://en.wikipedia.org/wiki/Fernando_Arroyo,,,,
Elden,Auker, P,1933-01-01T00:00:00Z,1938-01-01T00:00:00Z,,,,1910-09-21T00:00:00Z,"Norcatur, Kansas",2006-08-04T00:00:00Z,"Vero Beach, Florida",http://en.wikipedia.org/wiki/Elden_Auker,http://upload.wikimedia.org/wikipedia/en/9/94/Elden_Auker.jpg,Elden Auker,New York Times,
Brad,Ausmus, C,1996-01-01T00:00:00Z,,1999-01-01T00:00:00Z,2000-01-01T00:00:00Z,,1969-04-14T00:00:00Z,"New Haven, Connecticut",,,http://en.wikipedia.org/wiki/Brad_Ausmus,http://upload.wikimedia.org/wikipedia/commons/1/10/Ausmuscrop.jpg,"Brad Ausmus, 2009",Adam Baker,
Earl,Averill, OF,1939-01-01T00:00:00Z,1940-01-01T00:00:00Z,,,,1902-05-21T00:00:00Z,"Snohomish, Washington",1983-08-16T00:00:00Z,"Everett, Washington",http://en.wikipedia.org/wiki/Earl_Averill,http://upload.wikimedia.org/wikipedia/commons/7/79/EarlAverillGoudeycard.jpg,"Earl Averill, 1933",Goudey Gum Company,
Steve,Avery, P,2003-01-01T00:00:00Z,,,,,1970-04-14T00:00:00Z,"Trenton, Michigan",,,http://en.wikipedia.org/wiki/Steve_Avery,,,,
Alex,Avila, C,2009-01-01T00:00:00Z,2013-01-01T00:00:00Z,,,,1987-01-29T00:00:00Z,"Hialeah, Florida",,,http://en.wikipedia.org/wiki/Alex_Avila,http://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Alex_Avila_2010.jpg/708px-Alex_Avila_2010.jpg,"Alex Avila, 2010",Josh Willingham,
Doc,Ayers, P,1919-01-01T00:00:00Z,1921-01-01T00:00:00Z,,,,1891-05-21T00:00:00Z,"Snake Creek, Virginia",1968-05-26T00:00:00Z,"Pulaski, Virginia",http://en.wikipedia.org/wiki/Doc_Ayers,http://upload.wikimedia.org/wikipedia/commons/c/c0/Doc_Ayers.jpg,"Doc Ayers, 1916",Wikimedia Commons,
Bill,Bailey, P,1918-01-01T00:00:00Z,,,,,1888-04-12T00:00:00Z,"Fort Smith, Arkansas",1926-11-02T00:00:00Z,"Houston, Texas",http://en.wikipedia.org/wiki/Bill_Bailey_(baseball),http://upload.wikimedia.org/wikipedia/commons/f/f7/Bill_Bailey.jpg,"Bill Bailey, 1911",American Tobacco Company,
Howard,Bailey, P,1981-01-01T00:00:00Z,1983-01-01T00:00:00Z,,,,1957-07-31T00:00:00Z,"Grand Haven, Michigan",,,http://en.wikipedia.org/wiki/Howard_Bailey_(baseball),,,,
Doug,Bair, P,1983-01-01T00:00:00Z,1985-01-01T00:00:00Z,,,,1949-08-22T00:00:00Z,"Defiance, Ohio",,,http://en.wikipedia.org/wiki/Doug_Bair,http://upload.wikimedia.org/wikipedia/commons/thumb/2/27/DougBair.jpg/800px-DougBair.jpg,"Doug Bair, 2006",Joel Dinda,
Del,Baker, C,1914-01-01T00:00:00Z,1916-01-01T00:00:00Z,,,,1892-05-03T00:00:00Z,"Sherwood, Oregon",1973-09-11T00:00:00Z,"Olmos Park, Texas",http://en.wikipedia.org/wiki/Del_Baker,http://upload.wikimedia.org/wikipedia/commons/d/d8/Del_Baker_1941.png,"Del Baker, 1941",US Army Audiovisual Center,
Doug,Baker, IF,1984-01-01T00:00:00Z,1987-01-01T00:00:00Z,,,,1961-04-03T00:00:00Z,"Fullerton, California",,,http://en.wikipedia.org/wiki/Doug_Baker_(baseball),,,,
Jeff,Baker, IF,2012-01-01T00:00:00Z,,,,,1981-06-21T00:00:00Z,"Bad Kissingen, West Germany",,,http://en.wikipedia.org/wiki/Jeff_Baker,http://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Jeff_Baker%2C_CHC.jpg/676px-Jeff_Baker%2C_CHC.jpg,"Jeff Baker, 2009",Paul Kehrer,
Steve,Baker, P,1978-01-01T00:00:00Z,1979-01-01T00:00:00Z,,,,1956-08-30T00:00:00Z,"Eugene, Oregon",,,http://en.wikipedia.org/wiki/Steve_Baker_(baseball),,,,
Paul,Bako, C,1998-01-01T00:00:00Z,,,,,1972-06-20T00:00:00Z,"Lafayette, Louisiana",,,http://en.wikipedia.org/wiki/Paul_Bako,http://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Bako.jpg/357px-Bako.jpg,"Paul Bako, 2009",Keith Allison,
Billy,Baldwin, OF,1975-01-01T00:00:00Z,,,,,1951-06-09T00:00:00Z,"Tazewell, Virginia",2011-06-28T00:00:00Z,"Hudson, Ohio",http://en.wikipedia.org/wiki/Billy_Baldwin_(baseball),,,,
Collin,Balester, P,2012-01-01T00:00:00Z,,,,,1986-06-06T00:00:00Z,"Huntington Beach, California",,,http://en.wikipedia.org/wiki/Collin_Balester,http://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/8TH_Collin_Balester.jpg/600px-8TH_Collin_Balester.jpg,"Collin Balester, 2009",MissChatter,
Chris,Bando, C,1988-01-01T00:00:00Z,,,,,1956-02-04T00:00:00Z,"Cleveland, Ohio",,,http://en.wikipedia.org/wiki/Chris_Bando,,,,
Ray,Bare, P,1975-01-01T00:00:00Z,1977-01-01T00:00:00Z,,,,1949-04-15T00:00:00Z,"Miami, Florida",1994-03-29T00:00:00Z,"Miami, Florida",http://en.wikipedia.org/wiki/Ray_Bare,,,,
"Clyde ""Foots""",Barfoot, P,1926-01-01T00:00:00Z,,,,,1891-07-08T00:00:00Z,"Richmond, Virginia",1971-03-11T00:00:00Z,,http://en.wikipedia.org/wiki/Clyde_Barfoot,,,,
Frank,Barnes, P,1929-01-01T00:00:00Z,,,,,1900-01-09T00:00:00Z,"Dallas, Texas",1967-09-27T00:00:00Z,"Houston, Texas",http://en.wikipedia.org/wiki/Frank_Barnes_(left-handed_pitcher),,,,
Sam,Barnes, IF,1921-01-01T00:00:00Z,,,,,1899-12-18T00:00:00Z,"Suggsville, Alabama",1981-02-19T00:00:00Z,"Montgomery, Alabama",http://en.wikipedia.org/wiki/Sam_Barnes,,,,
Skeeter,Barnes, IF,1991-01-01T00:00:00Z,1994-01-01T00:00:00Z,,,,1957-03-03T00:00:00Z,"Cincinnati, Ohio",,,http://en.wikipedia.org/wiki/Skeeter_Barnes,http://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Skeeter_Barnes.jpg/443px-Skeeter_Barnes.jpg,"Skeeter Barnes, 2006",Joel Dinda,
Jimmy,Barrett, OF,1901-01-01T00:00:00Z,1905-01-01T00:00:00Z,,,,1875-03-28T00:00:00Z,"Athol, Massachusetts",1921-10-24T00:00:00Z,"Detroit, Michigan",http://en.wikipedia.org/wiki/Jimmy_Barrett,http://upload.wikimedia.org/wikipedia/commons/0/0d/JimmyBarrett.jpg,"Jimmy Barrett, 1908",Bain News Service via Library of Congress,
Kimera,Bartee, OF,1996-01-01T00:00:00Z,1999-01-01T00:00:00Z,,,,1972-07-21T00:00:00Z,"Omaha, Nebraska",,,http://en.wikipedia.org/wiki/Kimera_Bartee,,,,
"Dick ""Rowdy Richard""",Bartell, IF,1940-01-01T00:00:00Z,1941-01-01T00:00:00Z,,,,1907-11-22T00:00:00Z,"Chicago, Illinois",1995-08-04T00:00:00Z,"Alameda, California",http://en.wikipedia.org/wiki/Dick_Bartell,http://upload.wikimedia.org/wikipedia/commons/d/db/DickBartellGoudeycard.jpg,"Dick Bartell, 1933",Goudey Gum Company,
Al,Baschang, OF,1912-01-01T00:00:00Z,,,,,1888-08-22T00:00:00Z,"Cincinnati, Ohio",1967-06-23T00:00:00Z,"Cincinnati, Ohio",http://en.wikipedia.org/wiki/Al_Baschang,,,,
Johnny,Bassler, C,1921-01-01T00:00:00Z,1927-01-01T00:00:00Z,,,,1895-06-03T00:00:00Z,"Mechanics Grove, Pennsylvania",1979-06-29T00:00:00Z,"Santa Monica, California",http://en.wikipedia.org/wiki/Johnny_Bassler,http://upload.wikimedia.org/wikipedia/commons/d/d9/JohnnyBassler.jpg,"Johnny Bassler, 1913",Bain News Service via Library of Congress,
Matt,Batts, C,1952-01-01T00:00:00Z,1954-01-01T00:00:00Z,,,,1921-10-16T00:00:00Z,"San Antonio, Texas",,,http://en.wikipedia.org/wiki/Matt_Batts,http://upload.wikimedia.org/wikipedia/commons/d/d7/Matt_Batts.jpg,"Matt Batts, 1953",Bowman Gum,
Paddy,Baumann, IF,1911-01-01T00:00:00Z,1914-01-01T00:00:00Z,,,,1885-12-20T00:00:00Z,"Indianapolis, Indiana",1969-11-20T00:00:00Z,"Indianapolis, Indiana",http://en.wikipedia.org/wiki/Paddy_Baumann,http://upload.wikimedia.org/wikipedia/commons/8/84/PaddyBaumann.jpg,"Paddy Baumann, 1912",Bain News Service via Library of Congress,
Harry,Baumgartner, P,1920-01-01T00:00:00Z,,,,,1892-10-06T00:00:00Z,"South Pittsburg, Tennessee",1930-12-03T00:00:00Z,"Augusta, Georgia",http://en.wikipedia.org/wiki/Harry_Baumgartner,,,,
John,Baumgartner, IF,1953-01-01T00:00:00Z,,,,,1931-05-29T00:00:00Z,"Birmingham, Alabama",,,http://en.wikipedia.org/wiki/John_Baumgartner,,,,
Danny,Bautista Alcántara, OF,1993-01-01T00:00:00Z,1996-01-01T00:00:00Z,,,,1972-05-24T00:00:00Z,"Santo Domingo, Dominican Republic",,,http://en.wikipedia.org/wiki/Danny_Bautista,,,,
Denny,Bautista Germán, P,2008-01-01T00:00:00Z,,,,,1980-08-23T00:00:00Z,"Sánchez, Dominican Republic",,,http://en.wikipedia.org/wiki/Denny_Bautista,,,,
José,Bautista Arias, P,1997-01-01T00:00:00Z,,,,,1964-07-25T00:00:00Z,"Baní, Dominican Republic",,,http://en.wikipedia.org/wiki/Jos%C3%A9_Bautista_(pitcher),,,,
Yorman,Bazardo Osorio, P,2007-01-01T00:00:00Z,2008-01-01T00:00:00Z,,,,1984-07-11T00:00:00Z,"Maracay, Venezuela",,,http://en.wikipedia.org/wiki/Yorman_Bazardo,http://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Bazardo_%2830-05-2013%2C_ritagliato%29.jpg/766px-Bazardo_%2830-05-2013%2C_ritagliato%29.jpg,"Yorman Bazardo, 2013",Marco Tiezzi,
Trey,Beamon, OF,1998-01-01T00:00:00Z,,,,,1974-02-11T00:00:00Z,"Dallas, Texas",,,http://en.wikipedia.org/wiki/Trey_Beamon,,,,
Billy,Bean, OF,1987-01-01T00:00:00Z,1989-01-01T00:00:00Z,,,,1964-05-11T00:00:00Z,"Santa Ana, California",,,http://en.wikipedia.org/wiki/Billy_Bean,,,,
Billy,Beane, OF,1988-01-01T00:00:00Z,,,,,1962-03-29T00:00:00Z,"Orlando, Florida",,,http://en.wikipedia.org/wiki/Billy_Beane,,,,
Dave,Beard, P,1989-01-01T00:00:00Z,,,,,1959-10-02T00:00:00Z,"Atlanta, Georgia",,,http://en.wikipedia.org/wiki/Dave_Beard,,,,
Gene,Bearden, P,1951-01-01T00:00:00Z,,,,,1920-09-05T00:00:00Z,"Lexa, Arkansas",2004-03-18T00:00:00Z,"Alexander City, Alabama",http://en.wikipedia.org/wiki/Gene_Bearden,http://upload.wikimedia.org/wikipedia/commons/6/6b/Gene_Bearden.jpg,"Gene Bearden, 1950",Bowman Gum,
"Walter ""Boom-Boom""",Beck, P,1944-01-01T00:00:00Z,,,,,1904-10-16T00:00:00Z,"Decatur, Illinois",1987-05-07T00:00:00Z,"Champaign, Illinois",http://en.wikipedia.org/wiki/Boom-Boom_Beck,http://upload.wikimedia.org/wikipedia/commons/2/2d/Boom-BoomBeckGoudeycard.jpg,"Walter ""Boom-Boom"" Beck, 1934",Goudey Gum Company,
Erve,Beck, IF,1902-01-01T00:00:00Z,,,,,1878-07-19T00:00:00Z,"Toledo, Ohio",1916-12-23T00:00:00Z,"Toledo, Ohio",http://en.wikipedia.org/wiki/Erve_Beck,http://upload.wikimedia.org/wikipedia/commons/8/8c/ErveBeck1902.png,"Erve Beck, 1902",George Burke,
Heinie,Beckendorf, C,1909-01-01T00:00:00Z,1910-01-01T00:00:00Z,,,,1884-06-15T00:00:00Z,"New York, New York",1949-09-15T00:00:00Z,"Jackson Heights, New York",http://en.wikipedia.org/wiki/Heinie_Beckendorf,http://upload.wikimedia.org/wikipedia/en/1/16/HeinieBeckendorf.jpg,"Heinie Beckendorf, 1911",Sporting Life,
Rich,Becker, OF,2000-01-01T00:00:00Z,2001-01-01T00:00:00Z,,,,1972-02-01T00:00:00Z,"Aurora, Illinois",,,http://en.wikipedia.org/wiki/Rich_Becker,,,,
Wayne,Belardi, IF,1954-01-01T00:00:00Z,1956-01-01T00:00:00Z,,,,1930-09-05T00:00:00Z,"St Helena, California",1993-10-21T00:00:00Z,"Santa Cruz, California",http://en.wikipedia.org/wiki/Wayne_Belardi,http://upload.wikimedia.org/wikipedia/commons/a/a3/WayneBelardibowman.jpg,"Wayne Belardi, 1955",Bowman Gum,
Tim,Belcher, P,1994-01-01T00:00:00Z,,,,,1961-10-19T00:00:00Z,"Mount Gilead, Ohio",,,http://en.wikipedia.org/wiki/Tim_Belcher,,,,
Francis,Beltrán, P,2008-01-01T00:00:00Z,,,,,1979-11-29T00:00:00Z,"Santo Domingo, Dominican Republic",,,http://en.wikipedia.org/wiki/Francis_Beltr%C3%A1n,,,,
Beau,Bell, OF,1939-01-01T00:00:00Z,,,,,1907-08-20T00:00:00Z,"Bellville, Texas",1977-09-14T00:00:00Z,"College Station, Texas",http://en.wikipedia.org/wiki/Beau_Bell,http://upload.wikimedia.org/wikipedia/commons/e/e9/Beau_Bell_1940_Play_Ball_card.jpeg,"Beau Bell, 1940",Bowman Gum,
Duane,Below, P,2011-01-01T00:00:00Z,2013-01-01T00:00:00Z,,,,1985-11-15T00:00:00Z,"Britton, Michigan",,,http://en.wikipedia.org/wiki/Duane_Below,http://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Duane_Below_on_July_14%2C_2012.jpg/600px-Duane_Below_on_July_14%2C_2012.jpg,"Duane Below, 2012",Keith Allison,
Joaquín,Benoit Peña, P,2011-01-01T00:00:00Z,2013-01-01T00:00:00Z,,,,1977-07-26T00:00:00Z,"Santiago, Dominican Republic",,,http://en.wikipedia.org/wiki/Joaqu%C3%ADn_Benoit,http://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Joaquin_Benoit.jpg/543px-Joaquin_Benoit.jpg,"Joaquín Benoit, 2011",Cbl62,
Al,Benton, P,1938-01-01T00:00:00Z,1948-01-01T00:00:00Z,,,,1911-03-18T00:00:00Z,"Noble, Oklahoma",1968-04-14T00:00:00Z,"Lynwood, California",http://en.wikipedia.org/wiki/Al_Benton,,,,
Lou,Berberet, C,1959-01-01T00:00:00Z,1960-01-01T00:00:00Z,,,,1929-11-20T00:00:00Z,"Long Beach, California",2004-04-06T00:00:00Z,"Las Vegas, Nevada",http://en.wikipedia.org/wiki/Lou_Berberet,,,,
Juan,Berenguer, P,1982-01-01T00:00:00Z,1985-01-01T00:00:00Z,,,,,,,,,,,,
Dave,Bergman, IF,1984-01-01T00:00:00Z,1992-01-01T00:00:00Z,,,,,,,,,,,,
Sean,Bergman, P,1993-01-01T00:00:00Z,1996-01-01T00:00:00Z,,,,,,,,,,,,
Tony,Bernazard, IF,1991-01-01T00:00:00Z,,,,,,,,,,,,,
Adam,Bernero, P,2000-01-01T00:00:00Z,2003-01-01T00:00:00Z,,,,,,,,,,,,
Johnny,Bero, IF,1948-01-01T00:00:00Z,,,,,,,,,,,,,
Gerónimo,Berroa, DH,1998-01-01T00:00:00Z,,,,,,,,,,,,,
Neil,Berry, IF,1948-01-01T00:00:00Z,1952-01-01T00:00:00Z,,,,,,,,,,,,
Quintin,Berry, OF,2012-01-01T00:00:00Z,,,,,,,,,,,,,
Reno,Bertoia,IF,1953-01-01T00:00:00Z,1958-01-01T00:00:00Z,1961-01-01T00:00:00Z,1962-01-01T00:00:00Z,,,,,,,,,,
Wilson,Betemit, IF,2011-01-01T00:00:00Z,,,,,,,,,,,,,
Jason,Beverlin, P,2002-01-01T00:00:00Z,,,,,,,,,,,,,
Monte,Beville, C,1904-01-01T00:00:00Z,,,,,,,,,,,,,
Steve,Bilko, IF,1960-01-01T00:00:00Z,,,,,,,,,,,,,
Jack,Billingham, P,1978-01-01T00:00:00Z,1980-01-01T00:00:00Z,,,,,,,,,,,,
Josh,Billings, P,1927-01-01T00:00:00Z,1929-01-01T00:00:00Z,,,,,,,,,,,,
Babe,Birrer, P,1955-01-01T00:00:00Z,,,,,,,,,,,,,
Bud,Black, P,1952-01-01T00:00:00Z,1956-01-01T00:00:00Z,,,,,,,,,,,,
Willie,Blair, P,1996-01-01T00:00:00Z,2001-01-01T00:00:00Z,,,,,,,,,,,,
Ike,Blessitt, OF,1972-01-01T00:00:00Z,,,,,,,,,,,,,
Ben,Blomdahl, P,1995-01-01T00:00:00Z,,,,,,,,,,,,,
Jimmy,Bloodworth, IF,1942-01-01T00:00:00Z,1946-01-01T00:00:00Z,,,,,,,,,,,,
Lu,Blue, IF,1921-01-01T00:00:00Z,1927-01-01T00:00:00Z,,,,,,,,,,,,
Hiram,Bocachica, OF,2002-01-01T00:00:00Z,2003-01-01T00:00:00Z,,,,,,,,,,,,
Doug,Bochtler, P,1998-01-01T00:00:00Z,,,,,,,,,,,,,
Randy,Bockus, P,1989-01-01T00:00:00Z,,,,,,,,,,,,,
Brennan,Boesch, OF,2010-01-01T00:00:00Z,2012-01-01T00:00:00Z,,,,,,,,,,,,
George,Boehler, P,1912-01-01T00:00:00Z,1916-01-01T00:00:00Z,,,,,,,,,,,,
Joe,Boever, P,1993-01-01T00:00:00Z,1995-01-01T00:00:00Z,,,,,,,,,,,,
John,Bogart, P,1920-01-01T00:00:00Z,,,,,,,,,,,,,
Brian,Bohanon, P,1995-01-01T00:00:00Z,,,,,,,,,,,,,
Bernie,Boland, P,1915-01-01T00:00:00Z,1920-01-01T00:00:00Z,,,,,,,,,,,,
Frank,Bolling, IF,1954-01-01T00:00:00Z,1960-01-01T00:00:00Z,,,,,,,,,,,,
Milt,Bolling, IF,1958-01-01T00:00:00Z,,,,,,,,,,,,,
Cliff,Bolton, C,1937-01-01T00:00:00Z,,,,,,,,,,,,,
Tom,Bolton, P,1993-01-01T00:00:00Z,,,,,,,,,,,,,
Jeremy,Bonderman, P,2003-01-01T00:00:00Z,2010-01-01T00:00:00Z,,,,,,,,,,,,
Eddie,Bonine, P,2008-01-01T00:00:00Z,2010-01-01T00:00:00Z,,,,,,,,,,,,
Dan,Boone, P,1921-01-01T00:00:00Z,,,,,,,,,,,,,
Ray,Boone, IF,1953-01-01T00:00:00Z,1958-01-01T00:00:00Z,,,,,,,,,,,,
Dave,Borkowski, P,1999-01-01T00:00:00Z,2001-01-01T00:00:00Z,,,,,,,,,,,,
Red,Borom, IF,1944-01-01T00:00:00Z,1945-01-01T00:00:00Z,,,,,,,,,,,,
Steve,Boros, IF,1957-01-01T00:00:00Z,1962-01-01T00:00:00Z,,,,,,,,,,,,
Hank,Borowy, P,1950-01-01T00:00:00Z,1957-01-01T00:00:00Z,,,,,,,,,,,,
Dave,Boswell, P,1971-01-01T00:00:00Z,,,,,,,,,,,,,
Jim,Brady, P,1956-01-01T00:00:00Z,,,,,,,,,,,,,
Ralph,Branca, P,1953-01-01T00:00:00Z,1954-01-01T00:00:00Z,,,,,,,,,,,,
Jim,Brideweser, IF,1956-01-01T00:00:00Z,,,,,,,,,,,,,
Rocky,Bridges, IF,1959-01-01T00:00:00Z,1960-01-01T00:00:00Z,,,,,,,,,,,,
Tommy,Bridges, P,1930-01-01T00:00:00Z,1946-01-01T00:00:00Z,,,,,,,,,,,,
Ed,Brinkman, IF,1971-01-01T00:00:00Z,1974-01-01T00:00:00Z,,,,,,,,,,,,
